mca_registration,gstin,cin,iso_certification,pan_number,tan_number,msme_registration,shop_license,import_export_code,professional_tax,website_quality,domain_age,ssl_certificate,linkedin_profile,glassdoor_reviews,employee_count,turnover,contact_number,office_address,epf_registration,website_quality_dup,email_domain,linkedin_activity,scam_reports,job_platform,salary_realism,upfront_payment,description_quality,interview_process,comm_channels,has_company_logo,has_questions,social_media,employee_reviews,physical_address,epf_registration_dup,fssai_license,sebi_approval,description,fraudulent
No,No,Yes,Yes,None,No,Yes,Yes,None,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Gmail,Active,Few,Naukri,Low,No,Poor,Video,Telegram,No,Has Questions,Inactive,None,None,Yes,Yes,None,Urgent requirement for developer. Apply now with resume,0
None,Yes,None,No,Yes,None,None,None,Yes,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Gmail,Active,Many,LinkedIn,Low,Yes,Poor,In-Person,Email,No,Has Questions,Inactive,Negative,None,No,No,Yes,Urgent requirement for developer. Apply now with resume,1
Yes,None,Yes,None,Yes,Yes,None,Yes,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Active,None,LinkedIn,Realistic,Yes,Poor,Video,WhatsApp,Yes,Has Questions,Active,Negative,None,No,Yes,Yes,Hiring marketing executive with good comm skills and sales experience,0
None,No,Yes,No,None,No,Yes,No,Yes,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Gmail,Active,Many,Telegram,Realistic,Yes,Poor,In-Person,Call,No,Has Questions,Active,None,Present,No,Yes,None,Looking for software engineer with 2+ years experience in python and django,1
None,No,None,No,No,Yes,Yes,Yes,No,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Inactive,Few,LinkedIn,Realistic,Yes,Average,Phone,Call,Yes,Has Questions,Inactive,Negative,None,Yes,Yes,Yes,Urgent requirement for developer. Apply now with resume,1
None,None,Yes,None,None,Yes,None,None,No,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Active,None,Telegram,Low,No,Good,None,Email,Yes,Has Questions,Inactive,Positive,None,No,Yes,Yes,Job opening in finance. CA preferred. Salary competitive,0
No,None,Yes,Yes,No,None,Yes,No,None,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Active,None,WhatsApp,Low,Yes,Poor,None,Telegram,No,Has Questions,Inactive,Positive,None,No,None,Yes,Looking for software engineer with 2+ years experience in python and django,0
Yes,No,Yes,No,No,None,No,No,No,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Inactive,Many,Telegram,High,Yes,Good,In-Person,Email,Yes,Has Questions,Inactive,Negative,Present,No,Yes,Yes,Urgent requirement for developer. Apply now with resume,0
None,No,Yes,Yes,No,No,No,None,Yes,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Inactive,None,Indeed,Realistic,No,Good,Video,Telegram,Yes,Has Questions,Active,Positive,None,Yes,Yes,Yes,Hiring marketing executive with good comm skills and sales experience,0
None,No,None,None,No,None,Yes,Yes,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Gmail,Inactive,Many,Telegram,Realistic,No,Average,Phone,Telegram,Yes,Has Questions,Active,Positive,None,Yes,Yes,None,Hiring marketing executive with good comm skills and sales experience,1
No,None,Yes,None,Yes,Yes,Yes,None,No,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Active,None,Naukri,Low,Yes,Good,Phone,Telegram,No,Has Questions,Active,None,Present,Yes,Yes,No,Job opening in finance. CA preferred. Salary competitive,0
None,Yes,Yes,Yes,Yes,No,None,Yes,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Yahoo,Inactive,Many,LinkedIn,Realistic,No,Poor,In-Person,Call,Yes,Has Questions,Inactive,Negative,None,Yes,Yes,Yes,Job opening in finance. CA preferred. Salary competitive,0
None,Yes,No,None,Yes,None,None,None,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Outlook,Inactive,Few,Naukri,Realistic,Yes,Good,In-Person,WhatsApp,Yes,Has Questions,Active,Positive,Present,Yes,None,Yes,Hiring marketing executive with good comm skills and sales experience,1
Yes,Yes,Yes,No,No,No,No,No,No,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Gmail,Inactive,Few,Naukri,Realistic,Yes,Good,Video,WhatsApp,Yes,Has Questions,Active,None,None,No,Yes,No,Urgent requirement for developer. Apply now with resume,1
None,Yes,Yes,None,No,None,Yes,Yes,None,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Company Domain,Active,None,Indeed,Low,Yes,Average,Video,Call,Yes,Has Questions,Active,Negative,None,Yes,None,Yes,Frontend developer required - html css js,0
Yes,None,None,No,None,Yes,Yes,Yes,None,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Inactive,Many,Indeed,Realistic,No,Poor,Video,Telegram,Yes,Has Questions,Inactive,None,None,Yes,Yes,No,Urgent requirement for developer. Apply now with resume,0
Yes,No,No,Yes,None,No,No,No,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Active,Many,Naukri,Low,Yes,Poor,None,Email,Yes,Has Questions,Inactive,Negative,Present,No,Yes,None,Frontend developer required - html css js,0
No,Yes,None,None,No,None,No,No,Yes,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Yahoo,Inactive,None,WhatsApp,Low,No,Poor,In-Person,Call,No,Has Questions,Inactive,Positive,None,Yes,No,Yes,Frontend developer required - html css js,0
None,None,No,No,No,No,None,Yes,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,None,Indeed,Realistic,Yes,Average,None,Telegram,No,Has Questions,Active,Positive,Present,No,Yes,Yes,Urgent requirement for developer. Apply now with resume,0
None,No,None,None,No,No,No,None,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Inactive,Few,Indeed,Realistic,Yes,Good,In-Person,Call,No,Has Questions,Inactive,Negative,None,Yes,None,No,Hiring marketing executive with good comm skills and sales experience,0
None,None,None,No,Yes,None,Yes,No,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Inactive,None,Indeed,Realistic,No,Average,In-Person,Call,Yes,Has Questions,Inactive,Negative,Present,Yes,None,Yes,Looking for software engineer with 2+ years experience in python and django,1
None,No,No,Yes,None,Yes,Yes,None,None,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Outlook,Inactive,Many,Indeed,High,Yes,Poor,Video,WhatsApp,No,Has Questions,Inactive,Negative,Present,Yes,No,None,Job opening in finance. CA preferred. Salary competitive,1
Yes,No,Yes,No,No,None,No,None,Yes,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Active,Many,LinkedIn,Low,No,Poor,In-Person,WhatsApp,Yes,Has Questions,Inactive,Positive,None,No,Yes,None,Looking for software engineer with 2+ years experience in python and django,0
No,No,None,No,None,Yes,Yes,None,None,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Active,Few,LinkedIn,Low,No,Average,None,Email,No,Has Questions,Inactive,Positive,Present,Yes,Yes,No,Job opening in finance. CA preferred. Salary competitive,0
No,Yes,None,None,No,None,None,None,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Inactive,Few,WhatsApp,Low,No,Good,Phone,Email,Yes,Has Questions,Inactive,Positive,None,No,Yes,None,Hiring marketing executive with good comm skills and sales experience,1
No,None,Yes,Yes,Yes,None,Yes,Yes,None,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Yahoo,Active,Many,LinkedIn,Realistic,Yes,Poor,In-Person,Call,No,Has Questions,Active,Negative,None,Yes,Yes,No,Looking for software engineer with 2+ years experience in python and django,0
None,None,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Company Domain,Active,Few,Telegram,High,No,Poor,None,WhatsApp,No,Has Questions,Inactive,Positive,Present,No,None,No,Job opening in finance. CA preferred. Salary competitive,1
No,None,No,Yes,No,Yes,No,Yes,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Active,Few,Telegram,Low,No,Poor,Phone,Call,No,Has Questions,Inactive,Positive,None,No,None,No,Urgent requirement for developer. Apply now with resume,0
None,None,Yes,None,No,Yes,Yes,None,Yes,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Company Domain,Inactive,None,WhatsApp,High,No,Good,Phone,Call,Yes,Has Questions,Active,None,None,Yes,No,Yes,Urgent requirement for developer. Apply now with resume,0
None,No,None,No,No,None,No,Yes,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Outlook,Active,Many,Naukri,Realistic,Yes,Average,Video,Email,No,Has Questions,Active,Positive,Present,Yes,Yes,Yes,Frontend developer required - html css js,0
No,None,No,No,No,None,Yes,No,None,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Active,Few,LinkedIn,Realistic,Yes,Poor,In-Person,Telegram,No,Has Questions,Active,Negative,Present,Yes,Yes,No,Looking for software engineer with 2+ years experience in python and django,0
None,Yes,No,None,Yes,Yes,No,Yes,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Active,Few,Indeed,Realistic,Yes,Poor,In-Person,Telegram,No,Has Questions,Inactive,Negative,Present,No,No,None,Urgent requirement for developer. Apply now with resume,1
Yes,Yes,Yes,None,None,Yes,Yes,No,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Outlook,Inactive,Many,Indeed,High,No,Average,In-Person,WhatsApp,Yes,Has Questions,Inactive,Negative,Present,No,None,None,Job opening in finance. CA preferred. Salary competitive,0
Yes,None,No,None,Yes,None,No,No,None,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Inactive,None,Telegram,Realistic,Yes,Good,Phone,WhatsApp,No,Has Questions,Active,Negative,Present,No,Yes,No,Looking for software engineer with 2+ years experience in python and django,1
Yes,Yes,No,No,Yes,Yes,No,None,None,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Yahoo,Inactive,None,Telegram,Realistic,Yes,Good,Phone,Call,Yes,Has Questions,Active,Positive,None,No,No,None,Hiring marketing executive with good comm skills and sales experience,1
None,Yes,Yes,Yes,None,None,Yes,None,None,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Inactive,Many,Naukri,High,Yes,Average,Phone,Email,No,Has Questions,Active,None,Present,No,Yes,Yes,Urgent requirement for developer. Apply now with resume,0
Yes,Yes,None,Yes,Yes,Yes,No,No,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Inactive,Many,Indeed,Low,No,Average,Video,Email,No,Has Questions,Active,Positive,None,No,None,None,Frontend developer required - html css js,0
No,No,No,Yes,No,None,Yes,No,No,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Yahoo,Inactive,Few,Indeed,High,No,Good,Phone,WhatsApp,No,Has Questions,Active,Negative,Present,Yes,None,Yes,Looking for software engineer with 2+ years experience in python and django,0
None,None,Yes,No,None,None,None,None,None,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,Few,LinkedIn,Realistic,Yes,Poor,Video,Email,No,Has Questions,Inactive,Negative,None,No,Yes,None,Hiring marketing executive with good comm skills and sales experience,0
None,No,Yes,No,Yes,Yes,None,Yes,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Active,Few,Indeed,High,Yes,Average,Video,Call,Yes,Has Questions,Active,Positive,Present,No,No,None,Frontend developer required - html css js,0
None,No,None,No,None,No,None,No,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Gmail,Inactive,Many,LinkedIn,Realistic,No,Good,Phone,WhatsApp,Yes,Has Questions,Inactive,Negative,Present,Yes,None,Yes,Hiring marketing executive with good comm skills and sales experience,0
Yes,None,Yes,No,Yes,Yes,No,No,Yes,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Gmail,Active,None,WhatsApp,Realistic,No,Poor,Phone,Call,Yes,Has Questions,Inactive,Positive,None,No,Yes,Yes,Frontend developer required - html css js,0
None,Yes,None,Yes,No,Yes,None,None,Yes,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Company Domain,Inactive,Many,LinkedIn,Low,No,Poor,Phone,Call,Yes,Has Questions,Inactive,Negative,None,Yes,None,Yes,Frontend developer required - html css js,0
No,No,Yes,Yes,None,Yes,Yes,None,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Gmail,Inactive,None,LinkedIn,Low,Yes,Average,None,Email,No,Has Questions,Active,Positive,Present,Yes,None,None,Frontend developer required - html css js,0
None,No,Yes,No,None,Yes,None,None,Yes,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Yahoo,Active,None,WhatsApp,High,No,Average,None,Call,No,Has Questions,Active,Positive,None,No,Yes,None,Frontend developer required - html css js,0
No,Yes,No,Yes,Yes,No,Yes,No,None,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Active,Many,LinkedIn,High,No,Poor,In-Person,Call,Yes,Has Questions,Inactive,None,Present,Yes,None,Yes,Urgent requirement for developer. Apply now with resume,0
None,Yes,None,None,No,No,No,None,Yes,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Yahoo,Active,Many,Naukri,Realistic,Yes,Average,In-Person,Call,Yes,Has Questions,Active,None,Present,Yes,Yes,No,Frontend developer required - html css js,1
No,None,No,Yes,Yes,Yes,None,None,Yes,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Yahoo,Active,None,Naukri,High,No,Good,None,Call,Yes,Has Questions,Inactive,None,Present,Yes,Yes,None,Hiring marketing executive with good comm skills and sales experience,0
Yes,None,Yes,No,Yes,No,None,No,Yes,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Active,Many,Telegram,Realistic,Yes,Good,In-Person,Email,Yes,Has Questions,Inactive,Negative,Present,No,None,Yes,Frontend developer required - html css js,0
Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Active,Few,LinkedIn,Realistic,Yes,Average,In-Person,Call,Yes,Has Questions,Active,None,None,Yes,None,No,Job opening in finance. CA preferred. Salary competitive,0
No,No,No,None,No,No,None,No,None,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Inactive,None,WhatsApp,High,No,Poor,None,WhatsApp,No,Has Questions,Active,Negative,None,No,No,Yes,Frontend developer required - html css js,0
Yes,Yes,Yes,No,Yes,No,No,Yes,None,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Active,Few,WhatsApp,High,No,Poor,None,Call,No,Has Questions,Active,Negative,Present,Yes,No,None,Hiring marketing executive with good comm skills and sales experience,0
None,Yes,Yes,No,Yes,No,No,None,Yes,Yes,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Active,None,Indeed,Realistic,Yes,Good,Video,WhatsApp,Yes,Has Questions,Inactive,None,None,Yes,Yes,No,Hiring marketing executive with good comm skills and sales experience,0
Yes,None,None,Yes,No,No,No,Yes,None,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Company Domain,Active,None,Naukri,Realistic,Yes,Good,Phone,WhatsApp,Yes,Has Questions,Inactive,None,None,Yes,Yes,No,Hiring marketing executive with good comm skills and sales experience,1
No,Yes,No,Yes,None,None,No,Yes,No,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Inactive,Few,Naukri,High,No,Average,Phone,Email,Yes,Has Questions,Inactive,Negative,None,No,Yes,No,Urgent requirement for developer. Apply now with resume,0
None,No,Yes,Yes,None,None,None,No,No,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Yahoo,Active,Few,WhatsApp,Realistic,No,Poor,Video,Email,No,Has Questions,Active,Negative,None,Yes,No,Yes,Job opening in finance. CA preferred. Salary competitive,0
None,None,Yes,None,None,No,Yes,Yes,No,No,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Gmail,Active,Many,Telegram,High,Yes,Good,Video,Call,Yes,Has Questions,Active,Positive,None,Yes,No,None,Urgent requirement for developer. Apply now with resume,1
No,No,No,None,No,None,No,Yes,None,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Inactive,Many,Indeed,Realistic,No,Average,None,WhatsApp,Yes,Has Questions,Inactive,None,Present,Yes,No,Yes,Job opening in finance. CA preferred. Salary competitive,0
Yes,Yes,Yes,No,Yes,No,None,No,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Company Domain,Active,Many,Naukri,Low,Yes,Average,Video,WhatsApp,Yes,Has Questions,Active,None,Present,No,No,No,Looking for software engineer with 2+ years experience in python and django,0
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Outlook,Inactive,None,Indeed,Low,Yes,Poor,In-Person,WhatsApp,Yes,Has Questions,Inactive,Positive,None,Yes,Yes,Yes,Looking for software engineer with 2+ years experience in python and django,1
No,No,No,No,No,No,No,No,Yes,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Active,Few,LinkedIn,Low,Yes,Good,Phone,WhatsApp,No,Has Questions,Active,Negative,Present,No,No,Yes,Job opening in finance. CA preferred. Salary competitive,0
None,Yes,Yes,No,No,None,Yes,No,None,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Active,Few,LinkedIn,High,No,Poor,None,Email,Yes,Has Questions,Active,Negative,Present,No,None,None,Frontend developer required - html css js,1
No,Yes,None,None,None,Yes,Yes,Yes,No,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Inactive,None,Indeed,Realistic,No,Good,Video,Call,No,Has Questions,Inactive,None,None,No,None,Yes,Hiring marketing executive with good comm skills and sales experience,1
No,None,Yes,None,None,No,None,No,No,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Outlook,Inactive,Few,Naukri,Low,Yes,Average,Phone,Email,Yes,Has Questions,Inactive,Positive,None,No,No,Yes,Job opening in finance. CA preferred. Salary competitive,0
Yes,Yes,Yes,No,No,None,No,None,Yes,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Company Domain,Active,Many,Naukri,Realistic,Yes,Good,In-Person,WhatsApp,Yes,Has Questions,Inactive,Negative,None,No,Yes,None,Hiring marketing executive with good comm skills and sales experience,1
Yes,Yes,Yes,No,None,None,Yes,Yes,Yes,No,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Outlook,Active,None,WhatsApp,High,Yes,Good,None,Telegram,Yes,Has Questions,Inactive,None,Present,Yes,None,Yes,Job opening in finance. CA preferred. Salary competitive,0
Yes,Yes,Yes,No,No,No,None,No,No,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Gmail,Inactive,Many,Telegram,Low,No,Good,None,Call,Yes,Has Questions,Inactive,None,None,Yes,Yes,Yes,Job opening in finance. CA preferred. Salary competitive,0
No,None,Yes,None,Yes,None,No,No,None,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Poor,Company Domain,Inactive,Many,Telegram,High,Yes,Poor,None,Call,Yes,Has Questions,Active,None,None,Yes,None,Yes,Hiring marketing executive with good comm skills and sales experience,1
No,Yes,No,No,None,None,No,None,No,None,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Outlook,Inactive,Many,WhatsApp,High,Yes,Good,Phone,Call,No,Has Questions,Active,Positive,Present,No,No,No,Urgent requirement for developer. Apply now with resume,0
None,None,Yes,Yes,None,None,Yes,Yes,No,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Outlook,Active,None,Telegram,High,Yes,Good,Phone,Telegram,No,Has Questions,Active,None,None,No,Yes,Yes,Looking for software engineer with 2+ years experience in python and django,1
Yes,No,None,Yes,No,None,Yes,Yes,None,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Gmail,Active,Few,WhatsApp,High,Yes,Poor,None,Telegram,No,Has Questions,Inactive,Negative,None,No,No,None,Frontend developer required - html css js,0
No,Yes,None,None,None,Yes,Yes,No,Yes,No,Poor,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Poor,Company Domain,Active,Many,Indeed,Low,Yes,Poor,Video,Telegram,No,Has Questions,Inactive,Negative,Present,No,None,None,Frontend developer required - html css js,1
None,None,No,Yes,None,Yes,Yes,No,Yes,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Company Domain,Active,None,Indeed,Realistic,Yes,Good,Video,Telegram,Yes,Has Questions,Inactive,Positive,None,No,Yes,No,Looking for software engineer with 2+ years experience in python and django,0
Yes,No,None,None,No,Yes,None,Yes,Yes,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Inactive,Few,LinkedIn,Realistic,No,Poor,Video,Call,No,Has Questions,Active,None,None,No,Yes,None,Urgent requirement for developer. Apply now with resume,0
